epoch,epoch_time_s,learning_rate,train_loss,val_acc,val_dice,val_iou
0,255.86393785476685,0.0002,0.6244473540941171,1.0,0.7305820659283881,0.575525243750947
1,256.13919472694397,0.0002,0.351870384113451,1.0,0.7541857197165278,0.605375722250447
2,256.08142590522766,0.0002,0.3177559379719,1.0,0.763999542035703,0.6181223777975103
3,256.26261591911316,0.0002,0.30186073979181527,1.0,0.7693103836415086,0.6251051227017209
4,256.22313809394836,0.0002,0.29003896222705333,1.0,0.7803021570035323,0.6397503787385088
5,256.52797746658325,0.0002,0.280763042975316,1.0,0.7619647892161044,0.6154629388397167
6,255.87005734443665,0.0002,0.2730112858050692,1.0,0.7829041385604442,0.6432559368285431
7,255.4633846282959,0.0002,0.26862011638890326,1.0,0.786907115310307,0.6486783701740994
8,251.23622107505798,0.0002,0.26243310958410787,1.0,0.7835804934209262,0.6441696217323767
9,250.02833890914917,0.0002,0.2567722868471019,1.0,0.7861380684764291,0.6476338437351874
10,250.23806428909302,0.0002,0.25211882138937974,1.0,0.7765130976188686,0.6346721784333209
11,249.77115726470947,0.0002,0.25033332238682604,1.0,0.7821304856253536,0.6422120567054042
12,248.743736743927,0.0002,0.24529945125753902,1.0,0.7868459539326308,0.6485952517599198
13,248.64809894561768,0.0002,0.24242703794641832,1.0,0.7977998895600195,0.6636165498837303
14,248.6311981678009,0.0002,0.23921460207320946,1.0,0.8043278885856957,0.6726993804633395
15,248.69393873214722,0.0002,0.23616834131226075,1.0,0.7970947613783802,0.662641358426331
16,248.99997878074646,0.0002,0.23259169271430083,1.0,0.7952361766733503,0.6600764077373334
17,248.66754031181335,0.0002,0.22994290604132467,1.0,0.7968966671345171,0.6623675999936881
18,248.69949626922607,0.0002,0.2274999537562902,1.0,0.7945624734357729,0.6591486127866434
19,248.54948043823242,0.0002,0.22481071469662464,1.0,0.7976685656556263,0.6634348423990025
20,248.36175870895386,0.0002,0.22389554130160702,1.0,0.7950768302847911,0.6598568691086857
21,248.3693494796753,0.0002,0.22150507304256997,1.0,0.7882793387610061,0.6505454301282478
22,248.58493494987488,0.0002,0.2194706284564681,1.0,0.7772221228784876,0.6356200397639774
23,248.5157594680786,0.0002,0.21585844005499266,1.0,0.7953777509144699,0.6602715096108082
24,248.7557816505432,0.0002,0.21542210950788143,1.0,0.7996087164905075,0.6661233944924628
25,248.70781874656677,0.0002,0.21392239661870804,1.0,0.7934408283041161,0.6576062301104489
26,248.6808807849884,0.0001,0.19932507491480989,1.0,0.7985500350902309,0.6646552569088497
27,248.50293231010437,0.0001,0.1941563041996112,1.0,0.805120649622066,0.6738091585291942
28,248.66815280914307,0.0001,0.19138451095307824,1.0,0.7988033260874525,0.6650062753550456
29,252.15785598754883,0.0001,0.18939332178736154,1.0,0.8007029651721179,0.667643579463224
30,253.906564950943,0.0001,0.18826356292825885,1.0,0.7962839864152953,0.6615214697060781
31,253.89977145195007,0.0001,0.18609954447741003,1.0,0.8017905102953847,0.669157202629937
32,253.99616599082947,0.0001,0.1850793680522294,1.0,0.797134140977218,0.6626957902228735
33,254.24735975265503,0.0001,0.18312307756427115,1.0,0.796475793763896,0.6617862687239092
34,253.6693263053894,0.0001,0.18245350228606072,1.0,0.7997022537466363,0.6662532327856524
35,253.64866638183594,0.0001,0.1804438751817277,1.0,0.7986413500398031,0.6647817869095657
36,257.9005582332611,0.0001,0.18021390484233873,1.0,0.7977312857235864,0.6635216206251376
37,254.1873857975006,0.0001,0.1783580098070402,1.0,0.8026444268903509,0.6703475934102057
38,260.50221729278564,0.0001,0.17705871868977505,1.0,0.8043266080659944,0.6726975890673569
39,266.1381847858429,5e-05,0.16745199946175635,1.0,0.7998167587278169,0.6664122037565018
40,266.7737650871277,5e-05,0.1648092438227835,1.0,0.8039759411507217,0.6722071643978844
41,264.6858904361725,5e-05,0.16391287434813195,1.0,0.7975613550010165,0.6632865288537785
